,productType,year,profit
304,채권형,2022,-2.82
305,재간접,2022,-13.14
306,재간접,2022,-19.0
307,재간접,2022,-8.62
308,재간접,2022,-20.82
309,혼합주식형,2022,-30.63
310,주식형,2022,-41.92
311,단기금융,2022,1.72
312,재간접,2022,-19.97
313,재간접,2022,-28.24
314,재간접,2022,-22.94
315,채권형,2022,-0.73
316,주식형,2022,-24.52
317,단기금융,2022,1.67
318,주식형,2022,-24.92
319,파생상품,2022,-21.53
320,혼합채권형,2022,-14.47
321,재간접,2022,-47.72
322,주식형,2022,-49.06
323,주식형,2022,-12.31
324,재간접,2022,-24.84
325,부동산,2022,-5.16
326,혼합채권형,2022,-5.53
327,주식형,2022,-8.68
328,주식형,2022,-32.58
329,재간접,2022,-28.85
330,재간접,2022,-24.91
331,채권형,2022,-7.8
332,주식형,2022,-37.4
333,재간접,2022,-17.91
334,주식형,2022,-89.68
335,채권형,2022,15.63
336,주식형,2022,-35.0
337,재간접,2022,-32.1
338,주식형,2022,-67.02
339,채권형,2022,1.27
340,주식형,2022,-30.9
341,채권형,2022,-2.48
342,채권형,2022,0.96
343,혼합채권형,2022,-6.06
344,주식형,2022,-7.13
345,재간접,2022,-55.28
346,혼합채권형,2022,-5.15
347,주식형,2022,-32.18
348,재간접,2022,-19.64
349,재간접,2022,-7.69
350,재간접,2022,40.71
351,단기금융,2022,1.54
352,주식형,2022,-42.49
353,재간접,2022,-22.79
354,혼합채권형,2022,-6.34
355,주식형,2022,-40.8
356,재간접,2022,-32.97
357,주식형,2022,-53.66
358,혼합주식형,2022,-29.3
359,재간접,2022,-15.38
360,혼합주식형,2022,-12.66
361,주식형,2022,-3.37
362,주식형,2022,-32.91
363,재간접,2022,-25.02
364,혼합주식형,2022,-24.1
365,채권형,2022,1.37
366,재간접,2022,-21.92
367,주식형,2022,-17.28
368,혼합채권형,2022,-10.72
369,주식형,2022,-84.09
370,채권형,2022,-0.39
371,재간접,2022,-15.84
372,혼합채권형,2022,-2.82
373,재간접,2022,-31.22
374,혼합채권형,2022,-12.82
375,채권형,2022,-11.38
376,특별자산,2022,-6.5
377,주식형,2022,-26.19
378,주식형,2022,-23.43
379,주식형,2022,-30.42
380,혼합주식형,2022,-19.35
381,주식형,2022,-28.61
