"업종별(1)",업종별(2),업종별(3),업종별(4),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"업종별(1)",업종별(2),업종별(3),업종별(4),합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타
"업종별(1)",업종별(2),업종별(3),업종별(4),소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계
"업종별(1)",업종별(2),업종별(3),업종별(4),소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계
"제조업",화학제품,기타 화학제품,소계,17401,10195,3019,7176,6211,3983,3956,346,119,971,1816,19729,11258,4447,6811,6446,4812,2296,284,554,1547,3790,16896,8807,2792,6015,5109,3699,2813,196,327,2539,2213,26717,17374,2143,15231,13736,3638,3923,295,704,2275,2146,20645,13387,1660,11727,10837,2550,2358,414,533,1843,2110,15578,9406,636,8770,7463,1943,2544,312,250,2180,886,13795,9183,841,8342,6913,2270,2238,217,179,1527,450,13336,10137,397,9740,7905,2232,1771,255,225,526,422,14075,10245,560,9685,8230,2015,2309,233,253,557,478
"제조업",의약품,소계,소계,15918,11462,3302,8160,5575,5888,1337,375,11,633,2100,16463,13317,4065,9252,6357,6960,1201,246,88,784,827,18832,14661,805,13856,7094,7567,1435,438,48,1493,757,16772,12287,1039,11248,4384,7903,1462,327,21,1676,1000,17455,12907,2747,10160,4462,8445,1040,277,12,1340,1879,8957,5977,975,5002,4536,1442,1607,204,41,648,480,9867,5662,924,4738,3256,2406,2053,209,50,742,1151,10217,6076,732,5343,3009,3067,2599,132,45,849,516,9814,5702,753,4950,2948,2754,2588,129,58,789,548
"제조업",고무 및 플라스틱,소계,소계,19526,6807,1331,5476,4421,2386,4990,735,614,744,5636,24651,14004,5026,8978,9860,4145,3394,270,484,2623,3875,29076,19311,2766,16545,16204,3107,5298,499,140,1604,2224,17847,7776,3542,4235,5575,2202,4448,512,179,3134,1798,17088,8790,3718,5072,6762,2028,4949,319,178,1199,1653,13515,6683,1293,5390,4584,2099,3012,453,74,511,2782,13946,8066,1486,6580,5943,2124,2765,622,159,750,1584,11834,6544,1650,4894,4864,1680,2449,562,61,565,1654,10412,5209,1115,4094,3844,1364,2883,372,49,569,1331
"제조업",고무 및 플라스틱,고무,소계,4408,727,286,441,510,216,1083,606,22,330,1641,8453,3345,1443,1902,1884,1461,1597,211,72,1544,1684,6551,2401,1108,1293,1414,988,2592,268,52,897,342,5535,1427,906,521,889,538,1746,83,39,1922,318,3764,1135,766,368,465,669,1866,48,17,320,379,4743,1446,384,1062,992,454,1583,302,24,489,898,3554,982,627,356,627,355,1390,238,24,681,238,2827,1126,449,677,679,448,755,177,26,496,247,2893,1127,462,666,697,430,788,178,24,516,259
"제조업",고무 및 플라스틱,플라스틱,소계,15118,6080,1045,5035,3911,2169,3907,130,592,414,3995,16198,10659,3583,7076,7976,2684,1797,59,412,1079,2191,22525,16909,1658,15251,14790,2120,2706,231,88,708,1883,12312,6349,2635,3714,4686,1664,2703,429,140,1211,1480,13323,7655,2952,4704,6297,1358,3084,271,161,879,1274,8772,5237,909,4327,3592,1645,1429,151,51,22,1883,10391,7084,859,6225,5316,1768,1375,384,134,69,1346,9008,5417,1200,4217,4185,1232,1694,385,35,68,1408,7519,4082,653,3429,3147,934,2094,194,24,53,1072
"제조업",비금속광물,소계,소계,14854,4630,886,3744,3971,659,7183,615,486,393,1546,16953,4713,561,4152,4379,334,8670,1078,352,204,1935,14742,3249,654,2595,2680,569,7574,428,442,99,2949,15199,3601,796,2806,3319,283,7243,501,745,150,2959,14061,4069,1481,2588,3279,790,4800,442,1057,261,3432,10853,2515,617,1899,2077,438,4788,333,603,194,2421,7108,1449,319,1129,1307,142,4489,258,566,65,281,7620,1418,682,736,1376,43,4889,346,665,71,230,8130,2025,457,1568,1913,112,4833,275,704,62,232
"제조업",비금속광물,유리 및 유리제품,소계,6386,890,23,867,857,34,4714,73,2,354,352,5345,1030,55,975,1011,18,4012,57,1,139,107,4719,1180,231,949,1151,29,3343,94,15,56,30,3597,523,120,403,512,11,2630,221,56,101,67,4843,1318,557,761,977,341,2859,244,11,2,410,3506,275,49,226,275,0,2880,261,0,16,74,3294,34,0,34,34,0,3053,201,0,0,6,3647,63,0,63,63,0,3293,286,0,2,4,3524,49,27,22,44,5,3257,200,0,2,16
"제조업",비금속광물,도자기 및 기타 요업제품,소계,2608,1708,659,1049,1361,347,210,427,61,20,182,2250,1300,109,1191,1267,33,365,7,31,46,503,1232,197,1,196,163,33,152,204,54,14,612,1019,418,403,14,405,12,447,101,2,12,40,1477,919,628,291,759,160,166,71,111,7,202,1359,1041,545,496,909,132,249,42,0,24,3,796,544,300,244,449,94,194,16,0,37,5,1141,676,631,45,670,6,418,12,0,20,15,882,512,330,183,455,57,323,26,0,10,11
"제조업",비금속광물,시멘트 석회 및 기타,소계,5860,2031,204,1827,1753,278,2259,116,423,18,1011,9359,2384,398,1986,2101,283,4293,1015,320,20,1326,8791,1872,422,1450,1365,508,4080,130,373,28,2307,10582,2661,273,2388,2402,259,4166,179,687,37,2852,7741,1832,296,1536,1544,289,1775,127,936,252,2820,5989,1199,22,1177,893,306,1659,30,603,154,2344,3018,871,19,852,823,47,1242,41,566,28,271,2831,679,51,628,642,37,1179,48,665,50,212,3724,1464,100,1363,1414,50,1254,48,704,50,205
"제조업",1차금속,소계,소계,56373,33997,8441,25556,23369,10629,16864,962,1211,1684,1654,45379,28228,14113,14115,21454,6774,13442,202,358,1186,1962,27193,13137,3604,9533,8010,5127,12192,276,358,243,988,29322,8679,2273,6406,5538,3141,17722,268,670,357,1626,29328,8437,2431,6006,5710,2727,17510,819,709,460,1393,27128,9117,2423,6694,7275,1842,15735,405,759,166,945,23901,4840,896,3944,3851,989,14712,519,909,561,2360,24513,5602,2134,3468,4355,1246,14425,930,1010,678,1868,31762,5235,1831,3404,4224,1011,21290,1184,989,710,2354
"제조업",1차금속,1차 철강,소계,43558,23912,7576,16336,18601,5311,15600,958,891,1631,566,31636,18601,12054,6547,17666,935,10670,139,211,1126,889,18042,6465,2781,3684,5598,866,10633,106,70,148,621,22775,5382,1996,3386,4560,823,15697,222,263,284,927,23141,5509,1717,3792,4091,1419,15337,507,480,453,855,23201,7001,2060,4941,5904,1097,14580,218,591,154,657,18719,2635,742,1893,2141,494,13841,301,582,551,809,19132,3053,2011,1042,2482,572,13453,648,726,666,587,26789,3144,1595,1550,2627,517,20294,898,723,698,1032
"제조업",1차금속,1차 비철금속,소계,11121,8499,865,7634,3846,4653,1182,4,321,42,1073,10944,7383,2053,5330,3078,4306,2571,63,147,61,719,6317,3984,809,3175,1659,2325,1495,166,288,74,310,6061,3090,277,2813,819,2271,1973,35,398,68,496,5694,2652,559,2093,1436,1216,2138,262,164,8,472,3559,1915,363,1552,1180,735,1102,174,159,13,196,4546,1699,154,1545,1237,462,831,218,326,10,1461,4636,1901,122,1778,1448,452,948,274,284,12,1217,4706,1920,236,1684,1454,466,970,281,266,12,1257
